code,code_name
sh.510300,沪深300ETF
sh.510500,中证500ETF
sz.159915,创业板ETF
sh.510050,上证50ETF
sh.512100,中证1000ETF
sh.512010,医药ETF
sz.159928,消费ETF
sh.515000,科技ETF
sh.516160,新能源ETF
sh.512000,券商ETF
sh.512800,银行ETF
sh.512660,军工ETF
sh.512480,半导体ETF
sh.515880,通信ETF
sh.512200,房地产ETF
sh.512980,传媒ETF
sh.512400,有色金属ETF
sh.515220,煤炭ETF
sh.515210,钢铁ETF
sz.159870,化工ETF
sh.516950,基建ETF
sz.159825,农业ETF
sh.512580,环保ETF
sh.513100,纳指ETF
sh.513500,标普500ETF
sh.513130,恒生科技ETF
sz.159920,恒生ETF
sh.511010,国债ETF
sh.511990,货币ETF
sh.518880,黄金ETF
