baostock_code,code,name,market,asset_type,scan_1_2,snapshot,source,note
sz.300333,300333,兆日科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.301282,301282,金禄电子,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300223,300223,君正股份,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002423,002423,中粮资本,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300017,300017,网宿科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.603618,603618,杭电股份,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300862,300862,蓝盾光电,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300684,300684,中石科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002400,002400,省广集团,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.301213,301213,观想科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300296,300296,利亚德,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.301317,301317,鑫磊股份,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.603589,603589,口子窖,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.601108,601108,财通证券,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600030,600030,中信证券,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300059,300059,东方财富,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300395,300395,菲利华,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002131,002131,利欧股份,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300058,300058,蓝色光标,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.000837,000837,秦川机床,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600857,600857,宁波中百,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600186,600186,莲花控股,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.000596,000596,古井贡酒,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.603369,603369,今世缘,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002421,002421,达实智能,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002506,002506,协鑫集成,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.603883,603883,老百姓,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002567,002567,唐人神,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600216,600216,浙江医药,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.601857,601857,中国石油,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.601088,601088,中国神华,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600995,600995,南网储能,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600089,600089,特变电工,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002112,002112,三变科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.601212,601212,白银有色,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.600559,600559,老白干酒,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002911,002911,佛燃能源,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002697,002697,红旗连锁,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.000783,000783,长江证券,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002945,002945,华林证券,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002531,002531,天顺风能,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300852,300852,四会富仕,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002757,002757,南兴股份,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.603043,603043,广州酒家,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.605108,605108,同庆楼,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300607,300607,拓斯达,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.300782,300782,卓胜微,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sh.601869,601869,长飞光纤,SH,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002463,002463,沪电股份,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002281,002281,光迅科技,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.002156,002156,通富微电,SZ,stock,Y,2026-09-10,经验003第448行『3号股票池完整标的』(9-10定时任务),
sz.159740,159740,恒生科技ETF,SZ,etf,N,2026-09-10,经验003,ETF逻辑不同，不参与个股量能筛选与1/2号评级
sh.515080,515080,中证红利ETF,SH,etf,N,2026-09-10,经验003,ETF逻辑不同，不参与个股量能筛选与1/2号评级
